priority,query,cluster,target,action,volume,clicks,cartAdds,purchases,purchaseRate,brandShare,medianPrice,opportunity,note
"19","advertising display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","7551","2011","119","7","0.09","0.13","1946","12242","Create broader LED sign board buying guide"
"20","better together neon light","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","5134","2013","203","19","0.37","0.02","1499","10402","Create custom neon/name-board landing page before targeting"
"21","led display board for advertising","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","7136","1192","39","1","0.01","0.41","2787","9698","Create broader LED sign board buying guide"
"22","led sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","5148","1589","191","5","0.1","0.66","899","9307","Create broader LED sign board buying guide"
"23","salon","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","5877","825","280","17","0.29","0.66","299","9092","Create salon sign board page/category when product photos ready"
"24","advertisement display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","5462","1320","112","8","0.15","0.17","1945","8749","Create broader LED sign board buying guide"
"25","customized neon lights for room","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","5842","1281","31","0","0","0.08","199","8554","Create custom neon/name-board landing page before targeting"
"26","open close sign board","new-product","/open-close-sign-board/","Create product/category page when photos ready","3885","1154","249","69","1.78","0.04","299","8264","High purchase intent; add low-price open/closed sign product"
"27","led boards display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","4603","1581","87","4","0.09","0.86","1999","8208","Create broader LED sign board buying guide"
"28","neon light board","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","4595","1407","109","14","0.3","0.06","347","8119","Create custom neon/name-board landing page before targeting"
"29","digital display board for advertising","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","4808","1427","84","0","0","0.14","2787","8075","Create broader LED sign board buying guide"
"30","doctor name plate for table","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","3795","1675","114","20","0.53","0.03","499","7954","Create custom neon/name-board landing page before targeting"
"31","outdoor led display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","5846","934","48","1","0.02","0.66","3499","7927","Create broader LED sign board buying guide"
"32","doctor name plate","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","5116","1083","52","8","0.16","0.12","499","7632","Create custom neon/name-board landing page before targeting"
"33","medical shop plus light","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","5843","851","77","7","0.12","7.14","2944","7597","Use in medical/pharmacy product copy and blogs"
"34","customize","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","5013","1076","73","3","0.06","0.03","299","7564","Create custom neon/name-board landing page before targeting"
"35","medical plus led board","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","3534","1288","169","45","1.27","8.25","3029","7203","Use in medical/pharmacy product copy and blogs"
"36","display board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","4816","914","68","7","0.15","0.2","1799","7058","Create broader LED sign board buying guide"
"37","transparent led display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","5419","712","26","2","0.04","0.22","1443","6985","Create broader LED sign board buying guide"
"38","no credit board for shop","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","2826","873","259","61","2.16","0.1","249","6596","Bundle shop notice boards/accessories category"
"39","restaurant display board","existing-bar","/bar-led-sign-board/","Optimize existing page","4235","850","82","5","0.12","0.13","1945","6399","Use in bar product when adding variants"
"40","neon sign board customised","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","2692","1432","62","1","0.04","0.05","199","5877","Create custom neon/name-board landing page before targeting"
"41","custom neon lights for wall","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","3476","979","53","5","0.14","0.06","199","5757","Create custom neon/name-board landing page before targeting"
"42","office sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1650","570","338","64","3.88","0.21","288","5245","Create broader LED sign board buying guide"
"43","led board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","3317","772","63","0","0","1.01","1999","5142","Create broader LED sign board buying guide"
"44","led light board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2625","786","118","26","0.99","0.24","472","5093","Create broader LED sign board buying guide"
"45","clinic accessories for doctors","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","2358","643","231","21","0.89","0.16","369","5047","Use in medical/pharmacy product copy and blogs"
"46","fixed price board for shop","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","1829","654","217","53","2.9","0.06","249","4857","Bundle shop notice boards/accessories category"
"47","glow sign board led light customized","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","3267","707","29","2","0.06","0.37","586","4838","Create custom neon/name-board landing page before targeting"
"48","led running light board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","3196","686","36","5","0.16","0.04","2699","4807","Create broader LED sign board buying guide"
"49","led scrolling display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2375","937","63","4","0.17","0.68","4000","4596","Create broader LED sign board buying guide"
"50","led menu board for restaurant","existing-bar","/bar-led-sign-board/","Optimize existing page","2707","780","46","3","0.11","0.14","1999","4529","Use in bar product when adding variants"
"51","dental sign board with light","existing-dental","/dental-led-sign-board/","Optimize existing page","2866","640","71","5","0.17","3.63","1499","4457","Use in dental product and dental blog"
"52","light board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2700","716","40","2","0.07","1.23","1849","4323","Create broader LED sign board buying guide"
"53","glow sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","3210","445","31","0","0","0.3","799","4245","Create broader LED sign board buying guide"
"54","no return no exchange board","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","1687","549","182","45","2.67","0.18","209","4232","Bundle shop notice boards/accessories category"
"55","danger sign board electrical","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2411","489","86","22","0.91","0.2","184","4078","Create broader LED sign board buying guide"
"56","sign board customized","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","2654","607","37","1","0.04","0.15","399","4061","Create custom neon/name-board landing page before targeting"
"57","p10 led display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2308","701","44","8","0.35","0.11","1499","4023","Create broader LED sign board buying guide"
"58","dental clinic stickers for glass","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1768","610","168","11","0.62","0.19","309","3957","Use in medical/pharmacy product copy and blogs"
"59","led sign board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2350","690","37","1","0.04","1.48","1899","3892","Create broader LED sign board buying guide"
"60","digital signage","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2433","648","29","0","0","0.08","13193","3872","Create broader LED sign board buying guide"
"61","led display board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2106","675","35","4","0.19","0.79","2699","3662","Create broader LED sign board buying guide"
"62","custom signage board","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","2675","421","17","1","0.04","0.14","999","3610","Create custom neon/name-board landing page before targeting"
"63","dental chair light","existing-dental","/dental-led-sign-board/","Optimize existing page","1648","559","77","13","0.79","0.08","3250","3306","Use in dental product and dental blog"
"64","sign board for office","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1337","332","165","29","2.17","0.13","269","3172","Create broader LED sign board buying guide"
"65","customized name neon sign","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","2142","483","8","0","0","0.16","187","3145","Create custom neon/name-board landing page before targeting"
"66","bar lights","existing-bar","/bar-led-sign-board/","Optimize existing page","1756","450","88","3","0.17","0.71","799","3120","Use in bar product when adding variants"
"67","led display sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2099","396","40","1","0.05","0.99","2384","3082","Create broader LED sign board buying guide"
"68","medical shop accessories","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1955","400","71","0","0","1.66","469","3078","Use in medical/pharmacy product copy and blogs"
"69","acrylic sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1907","357","60","8","0.42","0.14","499","3014","Create broader LED sign board buying guide"
"70","salon gifts","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","2002","346","56","2","0.1","0.47","449","2989","Create salon sign board page/category when product photos ready"
"71","medical light board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1565","549","56","12","0.77","7.55","3000","2969","Create broader LED sign board buying guide"
"72","scrolling led display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1312","605","48","6","0.46","0.81","4499","2823","Create broader LED sign board buying guide"
"73","physiotherapy stickers for clinic","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1285","480","79","6","0.47","0.23","209","2709","Use in medical/pharmacy product copy and blogs"
"74","led lights for sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","2115","262","17","0","0","1.02","449","2702","Create broader LED sign board buying guide"
"75","clinic essentials for doctors","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1195","358","140","4","0.33","0.11","426","2658","Use in medical/pharmacy product copy and blogs"
"76","salon service","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","2516","0","0","0","0","0.12","0","2513","Create salon sign board page/category when product photos ready"
"77","medical sign board led","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1414","444","33","13","0.92","8.33","3000","2505","Use in medical/pharmacy product copy and blogs"
"78","led advertisement display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1423","479","23","0","0","1.05","2499","2481","Create broader LED sign board buying guide"
"79","bar neon light","existing-bar","/bar-led-sign-board/","Optimize existing page","1079","357","107","11","1.02","0.9","1499","2450","Use in bar product when adding variants"
"80","gift for dental clinic opening","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1266","387","50","6","0.47","0.22","548","2359","Use in medical/pharmacy product copy and blogs"
"81","led board light","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1317","373","42","6","0.46","0.29","399","2341","Create broader LED sign board buying guide"
"82","customize name neon sign","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","1533","388","6","0","0","0.23","199","2335","Create custom neon/name-board landing page before targeting"
"83","led board with letters","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1758","229","16","0","0","0.35","472","2290","Create broader LED sign board buying guide"
"84","open neon sign board","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","976","413","73","10","1.02","0.13","997","2286","Create custom neon/name-board landing page before targeting"
"85","salon equipment","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","1298","292","74","2","0.15","0.1","1617","2275","Create salon sign board page/category when product photos ready"
"86","salon items","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","1224","276","88","5","0.41","0.31","299","2272","Create salon sign board page/category when product photos ready"
"87","sign boards","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1135","221","80","24","2.11","0.13","219","2264","Create broader LED sign board buying guide"
"88","safety posters for industry","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","734","392","86","26","3.54","0.17","220","2259","Bundle shop notice boards/accessories category"
"89","doctor name plate for door","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","1195","437","20","2","0.17","0.17","499","2191","Create custom neon/name-board landing page before targeting"
"90","opd clinic accessories","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","844","314","126","2","0.24","0.69","378","2120","Use in medical/pharmacy product copy and blogs"
"91","gifts for clinic inauguration","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1336","295","35","0","0","0.69","499","2092","Use in medical/pharmacy product copy and blogs"
"92","scrolling text led display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1399","303","11","0","0","0.41","2787","2054","Create broader LED sign board buying guide"
"93","led board for advertisement","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1415","264","12","0","0","0.56","1999","1995","Create broader LED sign board buying guide"
"94","open led sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","874","333","48","13","1.49","0.19","899","1934","Create broader LED sign board buying guide"
"95","trial room sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","757","258","102","12","1.59","0.36","228","1924","Create broader LED sign board buying guide"
"96","clinic stickers","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","778","224","80","23","2.96","0.61","229","1897","Use in medical/pharmacy product copy and blogs"
"97","clinic setup for doctors","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","861","261","95","3","0.35","0.13","450","1893","Use in medical/pharmacy product copy and blogs"
"98","doctor in out sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1000","275","39","12","1.2","0.43","818","1885","Create broader LED sign board buying guide"
"99","sign boards for office","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","845","165","88","18","2.13","0.23","279","1829","Create broader LED sign board buying guide"
"100","led menu display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1195","265","13","3","0.25","0.3","1999","1822","Create broader LED sign board buying guide"
"101","led display panel","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1329","216","8","0","0","0.22","2099","1798","Create broader LED sign board buying guide"
"102","3d acrylic sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1274","182","30","1","0.08","0.22","380.16","1797","Create broader LED sign board buying guide"
"103","store room sign board","new-accessory","/shop-notice-sign-boards/","Create product/category page when photos ready","453","198","107","33","7.28","0.24","200","1779","Bundle shop notice boards/accessories category"
"104","led light board display letters","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1079","265","29","2","0.19","0.19","617","1776","Create broader LED sign board buying guide"
"105","medical plus led light","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","1026","302","25","7","0.68","6.9","3029","1768","Use in medical/pharmacy product copy and blogs"
"106","outdoor led display screen","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1125","298","8","0","0","0.15","11039","1759","Create broader LED sign board buying guide"
"107","professional salon accessories","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","946","202","69","0","0","0.41","399","1691","Create salon sign board page/category when product photos ready"
"108","outdoor led sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1307","166","10","0","0","1.48","1945","1670","Create broader LED sign board buying guide"
"109","medical led sign board","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","890","292","26","9","1.01","7.01","3064","1650","Use in medical/pharmacy product copy and blogs"
"110","acrylic led board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","703","268","46","15","2.13","0.23","499","1647","Create broader LED sign board buying guide"
"111","sign board for shop","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1013","152","50","7","0.69","0.51","281","1646","Create broader LED sign board buying guide"
"112","industrial sign boards","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","646","194","93","8","1.24","0.19","199","1594","Create broader LED sign board buying guide"
"113","hair trolley for salon","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","798","235","43","5","0.63","0.01","2999","1543","Create salon sign board page/category when product photos ready"
"114","medical shop decoration items","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","995","174","39","1","0.1","1.21","299","1538","Use in medical/pharmacy product copy and blogs"
"115","plus sign for medical store","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","840","258","34","4","0.48","9.34","2944","1496","Use in medical/pharmacy product copy and blogs"
"116","custom led name board","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","890","279","9","0","0","0.13","199","1492","Create custom neon/name-board landing page before targeting"
"117","salon accessories professional","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","745","209","66","0","0","0.21","474","1491","Create salon sign board page/category when product photos ready"
"118","hospital sign board","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","472","145","81","27","5.72","0.59","214","1488","Use in medical/pharmacy product copy and blogs"
"119","bar signs for home bar","existing-bar","/bar-led-sign-board/","Optimize existing page","793","205","47","4","0.5","1","388","1478","Use in bar product when adding variants"
"120","dental clinic sign board","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","796","265","33","0","0","1.99","994","1475","Use in medical/pharmacy product copy and blogs"
"121","logo light for wall","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","755","285","23","1","0.13","0.53","1349","1448","Create custom neon/name-board landing page before targeting"
"122","display board outdoor with stand","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","1151","120","9","0","0","0.08","679","1435","Create broader LED sign board buying guide"
"123","consultation room sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","561","153","76","14","2.5","0.24","282","1414","Create broader LED sign board buying guide"
"124","customize neon signs","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","971","195","8","0","0","0.19","199","1399","Create custom neon/name-board landing page before targeting"
"125","advertisement display board led tv","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","831","256","10","0","0","0.2","4300","1391","Create broader LED sign board buying guide"
"126","digital menu board for restaurant","existing-bar","/bar-led-sign-board/","Optimize existing page","646","284","28","1","0.15","0.13","2647.65","1365","Use in bar product when adding variants"
"127","open close sign board for shop led light","new-product","/open-close-sign-board/","Create product/category page when photos ready","699","232","24","6","0.86","0.31","899","1353","High purchase intent; add low-price open/closed sign product"
"128","pharmacy sign board","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","813","140","40","6","0.74","4.45","1949","1329","Use in pharmacy product and buying guide"
"129","pharmacy sticker","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","627","189","51","5","0.8","0.81","179","1315","Use in pharmacy product and buying guide"
"130","plus symbol medical shop light","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","610","237","33","7","1.15","7.32","2999","1288","Use in medical/pharmacy product copy and blogs"
"131","name plate for doctor","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","753","232","10","0","0","0.15","449","1266","Create custom neon/name-board landing page before targeting"
"132","doctor sticker for clinic","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","744","147","31","2","0.27","0.96","229","1210","Use in medical/pharmacy product copy and blogs"
"133","bar sign","existing-bar","/bar-led-sign-board/","Optimize existing page","627","183","38","2","0.32","0.84","679","1202","Use in bar product when adding variants"
"134","clinic items for doctors","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","522","137","64","7","1.34","0.86","343","1196","Use in medical/pharmacy product copy and blogs"
"135","pharmacy plus sign led light","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","579","212","34","6","1.04","8.62","2944","1195","Use in pharmacy product and buying guide"
"136","led moving display board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","877","149","4","0","0","0.26","3699","1193","Create broader LED sign board buying guide"
"137","clinic sign board","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","437","181","74","1","0.23","1.34","413","1175","Use in medical/pharmacy product copy and blogs"
"138","programmable led display","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","673","204","17","0","0","0.39","2099","1163","Create broader LED sign board buying guide"
"139","pharmacy led light board","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","590","221","19","4","0.68","6.03","3000","1139","Use in pharmacy product and buying guide"
"140","salon product","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","635","141","37","2","0.31","0.21","310","1125","Create salon sign board page/category when product photos ready"
"141","bar neon sign","existing-bar","/bar-led-sign-board/","Optimize existing page","392","162","71","4","1.02","1.57","1498","1113","Use in bar product when adding variants"
"142","pharmacy stickers for shop","existing-pharmacy","/pharmacy-plus-led-sign/","Optimize existing page","593","151","31","5","0.84","1.21","219","1103","Use in pharmacy product and buying guide"
"143","battery operated neon sign","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","736","159","6","0","0","0.2","365","1083","Create custom neon/name-board landing page before targeting"
"144","customize neon sign","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","614","195","11","0","0","0.23","199","1058","Create custom neon/name-board landing page before targeting"
"145","beauty salon decoration","new-industry-page","/salon-led-sign-board/","Create product/category page when photos ready","605","134","35","0","0","1.19","345","1041","Create salon sign board page/category when product photos ready"
"146","medical shop","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","700","113","11","2","0.29","0.26","354","1003","Use in medical/pharmacy product copy and blogs"
"147","led display for advertising","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","593","160","17","0","0","0.29","2789","996","Create broader LED sign board buying guide"
"148","hospital led sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","777","95","7","1","0.13","3.69","2944","985","Create broader LED sign board buying guide"
"149","sign board led light","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","581","167","14","0","0","0.79","472","980","Create broader LED sign board buying guide"
"150","medical board led light","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","590","174","11","1","0.17","6.69","2944","966","Use in medical/pharmacy product copy and blogs"
"151","hospital signage boards","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","320","117","80","1","0.31","0.56","249","964","Use in medical/pharmacy product copy and blogs"
"152","medical symbol led light","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","611","162","9","1","0.16","5.53","3000","958","Use in medical/pharmacy product copy and blogs"
"153","custom neon signs","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","616","162","3","0","0","0.22","199","954","Create custom neon/name-board landing page before targeting"
"154","led light for sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","631","132","8","0","0","0.74","299","930","Create broader LED sign board buying guide"
"155","slim led light board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","473","186","10","3","0.63","0.49","1946","929","Create broader LED sign board buying guide"
"156","gifts for dental clinic","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","522","143","20","1","0.19","0.52","499","917","Use in medical/pharmacy product copy and blogs"
"157","safety sign board","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","381","120","37","8","2.1","0.33","218","901","Create broader LED sign board buying guide"
"158","led display screen for advertising","generic-seo","/blog/led-sign-board-buying-guide.html","Create informational blog/landing page","528","175","4","0","0","0.32","3699","896","Create broader LED sign board buying guide"
"159","stickers for clinic","existing-medical","/medical-plus-led-sign-board/","Optimize existing page","340","118","49","6","1.76","0.52","249","891","Use in medical/pharmacy product copy and blogs"
"160","logo board with light","new-custom-neon","/custom-neon-led-sign-board/","Create product/category page when photos ready","410","195","16","1","0.24","0.66","1849","889","Create custom neon/name-board landing page before targeting"
